Muito_baixo;baixo;moderado;alto;muito_alto;regiao;fx_etaria;escala
0.495365852;4.298447759;8.424055001;13.40516499;19.73122067;AC;0 a 12 anos;incidencia
0.144526632;1.099953269;1.68720467;2.422809677;3.66997371;AC;13 anos ou mais;incidencia
0.156950637;0.881146028;1.683816736;2.84844846;4.456221602;AL;0 a 12 anos;incidencia
0.038291744;0.17321156;0.327277249;0.518981106;0.752524668;AL;13 anos ou mais;incidencia
0.099252825;2.13017777;4.183640663;6.474862489;9.322562751;AM;0 a 12 anos;incidencia
0.03132574;0.354423182;0.596458541;0.849948132;1.168677855;AM;13 anos ou mais;incidencia
0.271695887;2.677439963;5.080378196;7.326923639;9.784457406;BA;0 a 12 anos;incidencia
0.049039925;0.174314447;0.270942762;0.393355564;0.587934861;BA;13 anos ou mais;incidencia
1.151635201;3.567937613;5.689099127;8.45447792;12.88871774;CE;0 a 12 anos;incidencia
0.053240149;0.282943969;0.489996142;0.789935634;1.130079594;CE;13 anos ou mais;incidencia
0.384426129;7.280764134;14.62030352;22.201537;33.10502218;DF;0 a 12 anos;incidencia
0.041115547;0.596175432;1.228930391;1.773378779;2.55392982;DF;13 anos ou mais;incidencia
0.280877179;2.191689758;4.463581122;6.822872543;9.990090825;ES;0 a 12 anos;incidencia
0.02995036;0.339994513;0.648184701;0.993182677;1.475168388;ES;13 anos ou mais;incidencia
0.314072078;2.630933351;5.397386119;8.431579128;11.72930193;GO;0 a 12 anos;incidencia
0.067480242;0.383200377;0.691671278;1.04468911;1.835139809;GO;13 anos ou mais;incidencia
0.068679149;1.007205478;1.963550985;3.341824517;6.290913934;MA;0 a 12 anos;incidencia
0.017670629;0.133836146;0.295703011;0.653813286;1.37830909;MA;13 anos ou mais;incidencia
0.567431804;3.786141101;7.681722843;13.18630172;20.57001665;MG;0 a 12 anos;incidencia
0.168255928;0.650589588;1.106975691;1.879871913;3.264176714;MG;13 anos ou mais;incidencia
0.354073169;6.042046968;11.75094456;18.21708202;27.31033945;MS;0 a 12 anos;incidencia
0.087354478;1.188356697;2.264596048;3.802096614;6.758957414;MS;13 anos ou mais;incidencia
0.130873608;0.986133056;2.281102021;3.865604434;6.3627935;MT;0 a 12 anos;incidencia
0.033092212;0.180150676;0.374095867;0.677651344;1.104510019;MT;13 anos ou mais;incidencia
0.055710772;1.183887725;2.235972903;3.436141922;5.875256097;PA;0 a 12 anos;incidencia
0.059040068;0.240901164;0.384923273;0.563667164;0.795727365;PA;13 anos ou mais;incidencia
0.134293081;3.141738857;7.016343085;10.72848193;14.9401485;PB;0 a 12 anos;incidencia
0.029506742;0.339164285;0.599802301;0.896082826;1.301909453;PB;13 anos ou mais;incidencia
0.602021588;2.854917231;4.910549546;7.448632921;10.31695941;PE;0 a 12 anos;incidencia
0.03797018;0.311151407;0.545312379;0.866084367;1.325800158;PE;13 anos ou mais;incidencia
0.164639949;0.755537372;1.609028688;2.645433587;4.151733137;PI;0 a 12 anos;incidencia
0.036368172;0.197946859;0.376903178;0.522143276;0.753806355;PI;13 anos ou mais;incidencia
0.796724665;4.59894646;8.781977281;12.24157309;16.3907919;PR;0 a 12 anos;incidencia
0.247973078;0.907185121;1.587262876;2.756985461;4.4695307;PR;13 anos ou mais;incidencia
0.145672153;2.655730916;5.433132752;8.542241813;13.97834926;RJ;0 a 12 anos;incidencia
0.020738472;0.230366762;0.408708921;0.576904556;1.026527805;RJ;13 anos ou mais;incidencia
0.166686391;2.434291569;4.271485324;6.579997859;10.08105507;RN;0 a 12 anos;incidencia
0.034658117;0.262393705;0.437439882;0.682504529;1.109929661;RN;13 anos ou mais;incidencia
0.29156219;1.635719262;3.445327558;5.50059866;8.151812357;RO;0 a 12 anos;incidencia
0.070798866;0.319342193;0.530744672;0.820002399;1.34922499;RO;13 anos ou mais;incidencia
0.567330822;4.25507299;8.428255516;12.8569162;17.65196347;RR;0 a 12 anos;incidencia
0.179859026;0.469416035;0.931337566;1.978449291;2.877744424;RR;13 anos ou mais;incidencia
0.170994441;2.683684042;5.714695958;8.736424714;13.88021744;RS;0 a 12 anos;incidencia
0.105640539;0.651290282;1.084924091;1.635787109;2.863591407;RS;13 anos ou mais;incidencia
0.30459806;3.665618569;7.366625504;11.10429247;15.64789973;SC;0 a 12 anos;incidencia
0.015423504;0.588649101;0.885861581;1.433986504;2.348518714;SC;13 anos ou mais;incidencia
0.236099077;5.634491721;11.21876179;16.09840396;26.15333867;SE;0 a 12 anos;incidencia
0.052736775;0.292264332;0.453527262;0.664518656;0.995881723;SE;13 anos ou mais;incidencia
0.668094993;3.235894017;5.990611373;8.214518201;11.15314841;SP;0 a 12 anos;incidencia
