"epiweek";"epiyear";"fx_etaria";"Median";"LS";"LI";"LSb";"LIb";"media.movel";"casos.notificados";"DS_UF_SIGLA";"tendencia_3_semanas";"tendencia_6_semanas";"SG_UF_NOT";"CO_MUN_NOT"
1;2022;"0-12";NA;NA;NA;NA;NA;NA;8;"AC";0;0,5;12;120040
2;2022;"0-12";NA;NA;NA;NA;NA;7;7;"AC";0;0,5;12;120040
3;2022;"0-12";NA;NA;NA;NA;NA;5;5;"AC";0;0,5;12;120040
4;2022;"0-12";NA;NA;NA;NA;NA;4;4;"AC";0;0,5;12;120040
5;2022;"0-12";NA;NA;NA;NA;NA;5;4;"AC";0;0,5;12;120040
6;2022;"0-12";NA;NA;NA;NA;NA;5;8;"AC";0;0,5;12;120040
7;2022;"0-12";NA;NA;NA;NA;NA;5;3;"AC";0;0,5;12;120040
8;2022;"0-12";NA;NA;NA;NA;NA;3;3;"AC";0;0,5;12;120040
9;2022;"0-12";NA;NA;NA;NA;NA;2;2;"AC";0;0,5;12;120040
10;2022;"0-12";NA;NA;NA;NA;NA;4;2;"AC";0;0,5;12;120040
11;2022;"0-12";NA;NA;NA;NA;NA;6;7;"AC";0;0,5;12;120040
12;2022;"0-12";NA;NA;NA;NA;NA;9;9;"AC";0;0,5;12;120040
13;2022;"0-12";NA;NA;NA;NA;NA;9;11;"AC";0;0,5;12;120040
14;2022;"0-12";NA;NA;NA;NA;NA;9;7;"AC";0;0,5;12;120040
15;2022;"0-12";NA;NA;NA;NA;NA;10;10;"AC";0;0,5;12;120040
16;2022;"0-12";NA;NA;NA;NA;NA;12;14;"AC";0;0,5;12;120040
17;2022;"0-12";NA;NA;NA;NA;NA;12;12;"AC";0;0,5;12;120040
18;2022;"0-12";NA;NA;NA;NA;NA;8;11;"AC";0;0,5;12;120040
19;2022;"0-12";NA;NA;NA;NA;NA;12;1;"AC";0;0,5;12;120040
20;2022;"0-12";NA;NA;NA;NA;NA;14;25;"AC";0;0,5;12;120040
21;2022;"0-12";NA;NA;NA;NA;NA;20;17;"AC";0;0,5;12;120040
22;2022;"0-12";NA;NA;NA;NA;NA;20;19;"AC";0;0,5;12;120040
23;2022;"0-12";NA;NA;NA;NA;NA;18;25;"AC";0;0,5;12;120040
24;2022;"0-12";NA;NA;NA;NA;NA;17;9;"AC";0;0,5;12;120040
25;2022;"0-12";NA;NA;NA;NA;NA;18;18;"AC";0;0,5;12;120040
26;2022;"0-12";NA;NA;NA;NA;NA;18;27;"AC";0;0,5;12;120040
27;2022;"0-12";NA;NA;NA;NA;NA;16;9;"AC";0;0,5;12;120040
28;2022;"0-12";NA;NA;NA;NA;NA;10;11;"AC";0;0,5;12;120040
29;2022;"0-12";NA;NA;NA;NA;NA;9;9;"AC";0;0,5;12;120040
30;2022;"0-12";NA;NA;NA;NA;NA;9;7;"AC";0;0,5;12;120040
31;2022;"0-12";NA;NA;NA;NA;NA;9;10;"AC";0;0,5;12;120040
32;2022;"0-12";NA;NA;NA;NA;NA;9;10;"AC";0;0,5;12;120040
33;2022;"0-12";NA;NA;NA;NA;NA;8;8;"AC";0;0,5;12;120040
34;2022;"0-12";NA;NA;NA;NA;NA;5;6;"AC";0;0,5;12;120040
35;2022;"0-12";NA;NA;NA;NA;NA;4;1;"AC";0;0,5;12;120040
36;2022;"0-12";NA;NA;NA;NA;NA;6;5;"AC";0;0,5;12;120040
37;2022;"0-12";NA;NA;NA;NA;NA;9;11;"AC";0;0,5;12;120040
38;2022;"0-12";NA;NA;NA;NA;NA;11;10;"AC";0;0,5;12;120040
