"intensidade";"janela";"DS_UF_SIGLA";"fx_etaria"
"Risco";2;"AC";"0-12"
"Risco";2;"AL";"0-12"
"Segurança";2;"AM";"0-12"
"Baixo risco";2;"AP";"0-12"
"Segurança";2;"BA";"0-12"
"Alerta";2;"CE";"0-12"
"Segurança";2;"DF";"0-12"
"Segurança";2;"ES";"0-12"
"Segurança";2;"GO";"0-12"
"Alerta";2;"MA";"0-12"
"Alerta";2;"MG";"0-12"
"Segurança";2;"MS";"0-12"
"Alto risco";2;"MT";"0-12"
"Risco";2;"PA";"0-12"
"Alerta";2;"PB";"0-12"
"Segurança";2;"PE";"0-12"
"Risco";2;"PI";"0-12"
"Segurança";2;"PR";"0-12"
"Segurança";2;"RJ";"0-12"
"Alerta";2;"RN";"0-12"
"Alerta";2;"RO";"0-12"
"Segurança";2;"RR";"0-12"
"Segurança";2;"RS";"0-12"
"Baixo risco";2;"SC";"0-12"
"Segurança";2;"SE";"0-12"
"Segurança";2;"SP";"0-12"
"Alerta";2;"TO";"0-12"
"Alto risco";2;"AC";"> 12"
"Risco";2;"AL";"> 12"
"Risco";2;"AM";"> 12"
"Risco";2;"AP";"> 12"
"Alto risco";2;"BA";"> 12"
"Alto risco";2;"CE";"> 12"
"Risco";2;"DF";"> 12"
"Alerta";2;"ES";"> 12"
"Alerta";2;"GO";"> 12"
"Risco";2;"MA";"> 12"
"Alerta";2;"MG";"> 12"
"Alerta";2;"MS";"> 12"
"Alto risco";2;"MT";"> 12"
"Alto risco";2;"PA";"> 12"
"Alto risco";2;"PB";"> 12"
"Alerta";2;"PE";"> 12"
"Risco";2;"PI";"> 12"
"Segurança";2;"PR";"> 12"
"Risco";2;"RJ";"> 12"
"Risco";2;"RN";"> 12"
"Risco";2;"RO";"> 12"
"Alerta";2;"RR";"> 12"
"Segurança";2;"RS";"> 12"
"Segurança";2;"SC";"> 12"
"Alto risco";2;"SE";"> 12"
"Alerta";2;"SP";"> 12"
"Alerta";2;"TO";"> 12"
